,FAC,Hospital,CleanHospName
1,827,Baycrest Hospital,BAYCREST HOSPITAL
2,827,Baycrest Hospital ,BAYCREST HOSPITAL
3,910,"Casey House Hospice / Casey House, Foyer de Soins Palliatifs",CASEY HOUSE HOSPICE CASEY HOUSE FOYER DE SOINS PALLIATIFS
4,948,Centre for Addiction & Mental Health / Centre de toxicomanie et de santé mentale,CENTRE FOR ADDICTION MENTAL HEALTH CENTRE DE TOXICOMANIE ET DE SANT MENTALE
5,653,Englehart & District Hospital Inc. / Hôpital d'Englehart et du district,ENGLEHART DISTRICT HOSPITAL INC HPITAL DENGLEHART ET DU DISTRICT
6,653,Englehart & District Hospital Inc. / Hôpital d'Englehart et du District,ENGLEHART DISTRICT HOSPITAL INC HPITAL DENGLEHART ET DU DISTRICT
7,9991,ErinoakKids Centre for Treatment & Development,ERINOAKKIDS CENTRE FOR TREATMENT DEVELOPMENT
8,9991,ErinoakKids Centre for Treatment and Development,ERINOAKKIDS CENTRE FOR TREATMENT AND DEVELOPMENT
9,9991,Erinoakkids Centre For Treatment And Development,ERINOAKKIDS CENTRE FOR TREATMENT AND DEVELOPMENT
10,9991,Erinoakkids Centre for Treatment and Development,ERINOAKKIDS CENTRE FOR TREATMENT AND DEVELOPMENT
11,959,Hôpital régional de Sudbury Regional Hospital,HPITAL RGIONAL DE SUDBURY REGIONAL HOSPITAL
12,962,Hotel Dieu Shaver Health & Rehabilitation Centre,HOTEL DIEU SHAVER HEALTH REHABILITATION CENTRE
13,962,Hotel Dieu Shaver Health and Rehabilitation Centre,HOTEL DIEU SHAVER HEALTH AND REHABILITATION CENTRE
14,999,John McGivney Children's Centre,JOHN MCGIVNEY CHILDRENS CENTRE
15,696,Kirkland & District Hospital / Hôpital de Kirkland et du district,KIRKLAND DISTRICT HOSPITAL HPITAL DE KIRKLAND ET DU DISTRICT
16,696,Kirkland & District Hospital / Hopital de Kirkland et du district,KIRKLAND DISTRICT HOSPITAL HOPITAL DE KIRKLAND ET DU DISTRICT
17,980,Providence St . Joseph ' S And St . Michael's Healthcare,PROVIDENCE ST JOSEPH S AND ST MICHAELS HEALTHCARE
18,644,"Religious Hospitallers Of St. Joseph Of Cornwall, Ontario / Réligieuses hospitalières de Saint-Joseph du Cornwall",RELIGIOUS HOSPITALLERS OF ST JOSEPH OF CORNWALL ONTARIO RLIGIEUSES HOSPITALIRES DE SAINTJOSEPH DU CORNWALL
19,644,"Religious Hospitallers of St. Joseph of Cornwall, Ontario / Religieuses Hospitalières de Saint–Joseph de Cornwall, Ontario",RELIGIOUS HOSPITALLERS OF ST JOSEPH OF CORNWALL ONTARIO RELIGIEUSES HOSPITALIRES DE SAINTJOSEPH DE CORNWALL ONTARIO
20,644,"Religious Hospitallers of St. Joseph of Cornwall, Ontario / Religieuses Hospitalières de Saint-Joseph de Cornwall, Ontario",RELIGIOUS HOSPITALLERS OF ST JOSEPH OF CORNWALL ONTARIO RELIGIEUSES HOSPITALIRES DE SAINTJOSEPH DE CORNWALL ONTARIO
21,854,Salvation Army Toronto Grace Health Centre,SALVATION ARMY TORONTO GRACE HEALTH CENTRE
22,932,Soins continus Bruyère Continuing Care,SOINS CONTINUS BRUYRE CONTINUING CARE
23,9992,The Perley & Rideau Veterans' Health Centre / le Centre de santé Perley et Rideau pour anciens combattants,THE PERLEY RIDEAU VETERANS HEALTH CENTRE LE CENTRE DE SANT PERLEY ET RIDEAU POUR ANCIENS COMBATTANTS
24,9992,The Perley and Rideau Veterans' Health Centre,THE PERLEY AND RIDEAU VETERANS HEALTH CENTRE
25,960,The Scarborough Hospital,THE SCARBOROUGH HOSPITAL
26,961,The University of Ottawa Heart Institute,THE UNIVERSITY OF OTTAWA HEART INSTITUTE
27,961,University of Ottawa Heart Institute,UNIVERSITY OF OTTAWA HEART INSTITUTE
28,972,Waypoint Centre,WAYPOINT CENTRE
